Output_audio\part_from_join.mp3
fr=38400;to=38500;avr=38450;rms=4678
fr=38500;to=38600;avr=38550;rms=4678
fr=38600;to=38700;avr=38650;rms=4679
fr=38700;to=38800;avr=38750;rms=4678
fr=38800;to=38900;avr=38850;rms=4678
fr=38900;to=39000;avr=38950;rms=4678
fr=39000;to=39100;avr=39050;rms=4678
fr=39100;to=39200;avr=39150;rms=4678
fr=39200;to=39300;avr=39250;rms=4678
fr=39300;to=39400;avr=39350;rms=4678
fr=39400;to=39500;avr=39450;rms=4678
fr=39500;to=39600;avr=39550;rms=4678
fr=39600;to=39700;avr=39650;rms=4678
fr=39700;to=39800;avr=39750;rms=4678
fr=39800;to=39900;avr=39850;rms=4678
fr=39900;to=40000;avr=39950;rms=4678
fr=40000;to=40100;avr=40050;rms=4678
fr=40100;to=40200;avr=40150;rms=4678
fr=40200;to=40300;avr=40250;rms=4678
fr=40300;to=40400;avr=40350;rms=4678
fr=40400;to=40500;avr=40450;rms=4679
fr=40500;to=40600;avr=40550;rms=4678
fr=40600;to=40700;avr=40650;rms=4678
fr=40700;to=40800;avr=40750;rms=4678
fr=40800;to=40900;avr=40850;rms=4678
fr=40900;to=41000;avr=40950;rms=4678
fr=41000;to=41100;avr=41050;rms=4678
fr=41100;to=41200;avr=41150;rms=4679
fr=41200;to=41300;avr=41250;rms=4678
fr=41300;to=41400;avr=41350;rms=4678
fr=41400;to=41500;avr=41450;rms=4678
fr=41500;to=41600;avr=41550;rms=4678
fr=41600;to=41700;avr=41650;rms=4679
fr=41700;to=41800;avr=41750;rms=4678
fr=41800;to=41900;avr=41850;rms=4679
fr=41900;to=42000;avr=41950;rms=4678
fr=42000;to=42100;avr=42050;rms=4678
fr=42100;to=42200;avr=42150;rms=4678
fr=42200;to=42300;avr=42250;rms=4679
fr=42300;to=42400;avr=42350;rms=4679
fr=42400;to=42500;avr=42450;rms=4678
fr=42500;to=42600;avr=42550;rms=4678
fr=42600;to=42700;avr=42650;rms=4679
fr=42700;to=42800;avr=42750;rms=4678
fr=42800;to=42900;avr=42850;rms=4678
fr=42900;to=43000;avr=42950;rms=4679
fr=43000;to=43100;avr=43050;rms=4678
fr=43100;to=43200;avr=43150;rms=4678
fr=43200;to=43300;avr=43250;rms=4678
fr=43300;to=43400;avr=43350;rms=4679
fr=43400;to=43500;avr=43450;rms=4678
fr=43500;to=43600;avr=43550;rms=4678
fr=43600;to=43700;avr=43650;rms=4678
fr=43700;to=43800;avr=43750;rms=4678
fr=43800;to=43900;avr=43850;rms=4678
fr=43900;to=44000;avr=43950;rms=4678
fr=44000;to=44100;avr=44050;rms=4679
fr=44100;to=44200;avr=44150;rms=4678
fr=44200;to=44300;avr=44250;rms=4678
fr=44300;to=44400;avr=44350;rms=4679
fr=44400;to=44500;avr=44450;rms=4678
fr=44500;to=44600;avr=44550;rms=4678
fr=44600;to=44700;avr=44650;rms=4678
fr=44700;to=44800;avr=44750;rms=4680
fr=44800;to=44900;avr=44850;rms=4679
fr=44900;to=45000;avr=44950;rms=4678
fr=45000;to=45100;avr=45050;rms=4679
fr=45100;to=45200;avr=45150;rms=4678
fr=45200;to=45300;avr=45250;rms=4678
fr=45300;to=45400;avr=45350;rms=4678
fr=45400;to=45500;avr=45450;rms=4679
fr=45500;to=45600;avr=45550;rms=4679
fr=45600;to=45700;avr=45650;rms=4678
fr=45700;to=45800;avr=45750;rms=4678
fr=45800;to=45900;avr=45850;rms=4679
fr=45900;to=46000;avr=45950;rms=4678
fr=46000;to=46100;avr=46050;rms=4678
fr=46100;to=46200;avr=46150;rms=4678
fr=46200;to=46300;avr=46250;rms=4678
fr=46300;to=46400;avr=46350;rms=4678
fr=46400;to=46500;avr=46450;rms=4678
fr=46500;to=46600;avr=46550;rms=4679
fr=46600;to=46700;avr=46650;rms=4678
fr=46700;to=46800;avr=46750;rms=4678
fr=46800;to=46900;avr=46850;rms=4678
fr=46900;to=47000;avr=46950;rms=4678
fr=47000;to=47100;avr=47050;rms=4678
fr=47100;to=47200;avr=47150;rms=4678
fr=47200;to=47300;avr=47250;rms=4678
fr=47300;to=47400;avr=47350;rms=4679
fr=47400;to=47500;avr=47450;rms=4678
fr=47500;to=47600;avr=47550;rms=4678
fr=47600;to=47700;avr=47650;rms=4678
fr=47700;to=47800;avr=47750;rms=4678
fr=47800;to=47900;avr=47850;rms=4678
fr=47900;to=48000;avr=47950;rms=4678
fr=48000;to=48100;avr=48050;rms=4679
fr=48100;to=48200;avr=48150;rms=4678
fr=48200;to=48300;avr=48250;rms=4678
fr=48300;to=48400;avr=48350;rms=4678
fr=48400;to=48500;avr=48450;rms=4678
fr=48500;to=48600;avr=48550;rms=4678
fr=48600;to=48700;avr=48650;rms=4678
fr=48700;to=48800;avr=48750;rms=4678
fr=48800;to=48900;avr=48850;rms=4678
fr=48900;to=49000;avr=48950;rms=4678
fr=49000;to=49100;avr=49050;rms=4679
fr=49100;to=49200;avr=49150;rms=4678
fr=49200;to=49300;avr=49250;rms=4678
fr=49300;to=49400;avr=49350;rms=4678
fr=49400;to=49500;avr=49450;rms=4679
fr=49500;to=49600;avr=49550;rms=4679
fr=49600;to=49700;avr=49650;rms=4678
fr=49700;to=49800;avr=49750;rms=4679
fr=49800;to=49900;avr=49850;rms=4678
fr=49900;to=50000;avr=49950;rms=4678
fr=50000;to=50100;avr=50050;rms=4678
fr=50100;to=50200;avr=50150;rms=4679
fr=50200;to=50300;avr=50250;rms=4678
fr=50300;to=50400;avr=50350;rms=4678
fr=50400;to=50500;avr=50450;rms=4678
fr=50500;to=50600;avr=50550;rms=4679
fr=50600;to=50700;avr=50650;rms=4678
fr=50700;to=50800;avr=50750;rms=4678
fr=50800;to=50900;avr=50850;rms=4678
fr=50900;to=51000;avr=50950;rms=4678
fr=51000;to=51100;avr=51050;rms=4678
fr=51100;to=51200;avr=51150;rms=4679
fr=51200;to=51300;avr=51250;rms=4679
fr=51300;to=51400;avr=51350;rms=4678
fr=51400;to=51500;avr=51450;rms=4678
fr=51500;to=51600;avr=51550;rms=4678
fr=51600;to=51700;avr=51650;rms=4678
fr=51700;to=51800;avr=51750;rms=4678
fr=51800;to=51900;avr=51850;rms=4678
fr=51900;to=52000;avr=51950;rms=4678
fr=52000;to=52100;avr=52050;rms=4678
fr=52100;to=52200;avr=52150;rms=4678
fr=52200;to=52300;avr=52250;rms=4678
fr=52300;to=52400;avr=52350;rms=4678
fr=52400;to=52500;avr=52450;rms=4678
fr=52500;to=52600;avr=52550;rms=4678
fr=52600;to=52700;avr=52650;rms=4678
fr=52700;to=52800;avr=52750;rms=4678
fr=52800;to=52900;avr=52850;rms=4678
fr=52900;to=53000;avr=52950;rms=4678
fr=53000;to=53100;avr=53050;rms=4679
fr=53100;to=53200;avr=53150;rms=4678
fr=53200;to=53300;avr=53250;rms=4678
fr=53300;to=53400;avr=53350;rms=4678
fr=53400;to=53500;avr=53450;rms=4678
fr=53500;to=53600;avr=53550;rms=4678
fr=53600;to=53700;avr=53650;rms=4678
fr=53700;to=53800;avr=53750;rms=4678
fr=53800;to=53900;avr=53850;rms=4678
fr=53900;to=54000;avr=53950;rms=4678
fr=54000;to=54100;avr=54050;rms=4679
fr=54100;to=54200;avr=54150;rms=4678
fr=54200;to=54300;avr=54250;rms=4678
fr=54300;to=54400;avr=54350;rms=4678
fr=54400;to=54500;avr=54450;rms=4679
fr=54500;to=54600;avr=54550;rms=4678
fr=54600;to=54700;avr=54650;rms=4678
fr=54700;to=54800;avr=54750;rms=4678
fr=54800;to=54900;avr=54850;rms=4679
fr=54900;to=55000;avr=54950;rms=4678
fr=55000;to=55100;avr=55050;rms=4678
fr=55100;to=55200;avr=55150;rms=4678
fr=55200;to=55300;avr=55250;rms=4679
fr=55300;to=55400;avr=55350;rms=4678
fr=55400;to=55500;avr=55450;rms=4678
fr=55500;to=55600;avr=55550;rms=4679
fr=55600;to=55700;avr=55650;rms=4678
fr=55700;to=55800;avr=55750;rms=4678
fr=55800;to=55900;avr=55850;rms=4678
fr=55900;to=56000;avr=55950;rms=4678
fr=56000;to=56022;avr=56011;rms=65
---------
Input_audio\1bdcf42e-1bdb-4058-b9e5-6ee670ec509b.mp3
fr=0;to=100;avr=50;rms=10
fr=100;to=200;avr=150;rms=15
fr=200;to=300;avr=250;rms=23
fr=300;to=400;avr=350;rms=13
fr=400;to=500;avr=450;rms=13
fr=500;to=600;avr=550;rms=12
fr=600;to=700;avr=650;rms=12
fr=700;to=800;avr=750;rms=12
fr=800;to=900;avr=850;rms=23
fr=900;to=1000;avr=950;rms=118
fr=1000;to=1100;avr=1050;rms=111
fr=1100;to=1200;avr=1150;rms=99
fr=1200;to=1300;avr=1250;rms=1217
fr=1300;to=1400;avr=1350;rms=3655
fr=1400;to=1500;avr=1450;rms=1715
fr=1500;to=1600;avr=1550;rms=77
fr=1600;to=1700;avr=1650;rms=2173
fr=1700;to=1800;avr=1750;rms=6013
fr=1800;to=1900;avr=1850;rms=217
fr=1900;to=2000;avr=1950;rms=415
fr=2000;to=2100;avr=2050;rms=182
fr=2100;to=2200;avr=2150;rms=25
fr=2200;to=2300;avr=2250;rms=52
fr=2300;to=2400;avr=2350;rms=48
fr=2400;to=2500;avr=2450;rms=607
fr=2500;to=2600;avr=2550;rms=197
fr=2600;to=2700;avr=2650;rms=2565
fr=2700;to=2800;avr=2750;rms=713
fr=2800;to=2900;avr=2850;rms=35
fr=2900;to=3000;avr=2950;rms=15
fr=3000;to=3100;avr=3050;rms=13
fr=3100;to=3200;avr=3150;rms=13
fr=3200;to=3300;avr=3250;rms=25
fr=3300;to=3400;avr=3350;rms=21
fr=3400;to=3500;avr=3450;rms=21
fr=3500;to=3600;avr=3550;rms=414
fr=3600;to=3700;avr=3650;rms=25
fr=3700;to=3800;avr=3750;rms=19
fr=3800;to=3900;avr=3850;rms=328
fr=3900;to=4000;avr=3950;rms=33
fr=4000;to=4100;avr=4050;rms=20
fr=4100;to=4200;avr=4150;rms=11
fr=4200;to=4300;avr=4250;rms=18
fr=4300;to=4400;avr=4350;rms=17
fr=4400;to=4500;avr=4450;rms=35
fr=4500;to=4600;avr=4550;rms=20
fr=4600;to=4700;avr=4650;rms=16
fr=4700;to=4800;avr=4750;rms=17
fr=4800;to=4900;avr=4850;rms=14
fr=4900;to=5000;avr=4950;rms=13
fr=5000;to=5100;avr=5050;rms=620
fr=5100;to=5200;avr=5150;rms=630
fr=5200;to=5300;avr=5250;rms=2966
